level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	236	236	-1	
2	1	1	0	0	0	27	21	11	29	-1	
3	1	1	1	0	0	27	21	11	29	-1	
4	1	1	1	1	0	27	21	11	29	-1	
5	1	1	1	1	1	27	21	11	29	96.761581	1
