level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	226	220	-1	
2	1	1	0	0	0	71	55	81	110	-1	
3	1	1	1	0	0	71	55	81	110	-1	
4	1	1	1	1	0	71	55	81	110	-1	
5	1	1	1	1	1	71	55	81	110	95.585686	8
