level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	236	236	-1	
2	1	1	0	0	0	21	20	184	195	-1	
3	1	1	1	0	0	21	20	184	195	-1	
4	1	1	1	1	0	27	20	177	38	-1	
5	1	1	1	1	1	27	20	177	38	0.000000	123
4	1	1	1	2	0	21	99	28	37	-1	
5	1	1	1	2	1	21	99	28	37	95.555611	4
4	1	1	1	3	0	22	178	183	37	-1	
5	1	1	1	3	1	22	178	26	36	96.727646	7
5	1	1	1	3	2	178	178	27	37	94.230553	9
