level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	236	236	-1	
2	1	1	0	0	0	21	20	176	195	-1	
3	1	1	1	0	0	21	20	184	195	-1	
4	1	1	1	1	0	21	20	176	195	-1	
5	1	1	1	1	1	21	20	176	195	33.522697	_
